"Category","Year","Athlete","Nationality","Time"
"Men",1981,"Dick Beardsley (Tie)","United States",0.0915277777777778
"Men",1981,"Inge Simonsen (Tie)","Norway",0.0915277777777778
"Men",1982,"Hugh Jones","United Kingdom",0.0898611111111111
"Men",1983,"Mike Gratton","United Kingdom",0.0900810185185185
"Men",1984,"Charlie Spedding","United Kingdom",0.0902430555555556
"Men",1985,"Steve Jones","United Kingdom",0.0890740740740741
"Men",1986,"Toshihiko Seko","Japan",0.0903009259259259
"Men",1987,"Hiromi Taniguchi","Japan",0.090162037037037
"Men",1988,"Henrik Jørgensen","Denmark",0.0905092592592593
"Men",1989,"Douglas Wakiihuri","Kenya",0.0896180555555556
"Men",1990,"Allister Hutton","United Kingdom",0.0903935185185185
"Men",1991,"Yakov Tolstikov","Soviet Union",0.0897800925925926
"Men",1992,"António Pinto","Portugal",0.0903009259259259
"Men",1993,"Eamonn Martin","United Kingdom",0.0908564814814815
"Men",1994,"Dionicio Cerón","Mexico",0.0895023148148148
"Men",1995,"Dionicio Cerón","Mexico",0.0892361111111111
"Men",1996,"Dionicio Cerón","Mexico",0.0902777777777778
"Men",1997,"António Pinto","Portugal",0.0888310185185185
"Men",1998,"Abel Antón","Spain",0.0888541666666667
"Men",1999,"Abdelkader El Mouaziz","Morocco",0.0888541666666667
"Men",2000,"António Pinto","Portugal",0.0879166666666667
"Men",2001,"Abdelkader El Mouaziz","Morocco",0.0882986111111111
"Men",2002,"Khalid Khannouchi","United States",0.0872453703703704
"Men",2003,"Gezahegne Abera","Ethiopia",0.0888425925925926
"Men",2004,"Evans Rutto","Kenya",0.0877083333333333
"Men",2005,"Martin Lel","Kenya",0.088599537037037
"Men",2006,"Felix Limo","Kenya",0.0879513888888889
"Men",2007,"Martin Lel","Kenya",0.0886689814814815
"Men",2008,"Martin Lel","Kenya",0.0869791666666667
"Men",2009,"Samuel Wanjiru","Kenya",0.0869212962962963
"Men",2010,"Tsegaye Kebede","Ethiopia",0.087025462962963
"Men",2011,"Emmanuel Kipchirchir Mutai","Kenya",0.0865740740740741
"Men",2012,"Wilson Kipsang Kiprotich","Kenya",0.0866203703703704
"Men",2013,"Tsegaye Kebede","Ethiopia",0.0875462962962963
"Men",2014,"Wilson Kipsang Kiprotich","Kenya",0.0864467592592593
"Men",2015,"Eliud Kipchoge","Kenya",0.0865972222222222
"Men",2016,"Eliud Kipchoge","Kenya",0.085474537037037
"Men",2017,"Daniel Wanjiru","Kenya",0.0873611111111111
"Men",2018,"Eliud Kipchoge","Kenya",0.0863078703703704
"Men",2019,"Eliud Kipchoge","Kenya",0.085150462962963
"Men",2020,"Shura Kitata Tola","Ethiopia",0.0874768518518518
"Men",2021,"Sisay Lemma","Ethiopia",0.0861226851851852
"Men",2022,"Amos Kipruto","Kenya",0.0865625
"Men",2023,"Kelvin Kiptum","Kenya",0.0843171296296296
"Women",1981,"Joyce Smith","United Kingdom",0.104131944444444
"Women",1982,"Joyce Smith","United Kingdom",0.103969907407407
"Women",1983,"Grete Waitz","Norway",0.101030092592593
"Women",1984,"Ingrid Kristiansen","Norway",0.100300925925926
"Women",1985,"Ingrid Kristiansen","Norway",0.0979861111111111
"Women",1986,"Grete Waitz","Norway",0.100625
"Women",1987,"Ingrid Kristiansen","Norway",0.0991666666666667
